,Unnamed: 0,level_0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
271541,271541,122186,22957,SL,2019-08-31,80.5,-1.8463,5.4337,Logan Webb,649966.0,657277.0,,ball,,,,,11.0,,R,R,R,SF,SD,B,,,0.0,0.0,2019.0,0.9603,0.2279,-1.0461,3.3649,,,,2.0,4.0,Top,,,,,457763.0,,190901_021005,-0.0175,-117.1792,1.6019999999999999,8.7687,20.8462,-30.5998,3.07,1.47,,,,80.249,2697.0,5.9670000000000005,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.5328,,,,,,,,30.0,1.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271542,271542,122187,22974,FF,2019-08-31,93.6,-1.6269999999999998,5.5357,Logan Webb,622534.0,657277.0,field_out,hit_into_play,,,,,6.0,"Manuel Margot grounds out, shortstop Mauricio Dubon to first baseman Brandon Belt.  ",R,R,R,SF,SD,X,6.0,ground_ball,3.0,2.0,2019.0,-0.7699,1.3468,0.5408,2.3812,,,,1.0,4.0,Top,116.88,141.55,,,457763.0,,190901_020935,7.3598,-136.1862,-5.4635,-11.2503,28.3121,-14.2237,3.39,1.62,4.0,90.9,-31.0,94.42299999999999,2281.0,6.657,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.8421,0.085,0.078,0.0,1.0,0.0,0.0,2.0,29.0,6.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271543,271543,122188,22993,FF,2019-08-31,92.6,-1.6687,5.6838,Logan Webb,622534.0,657277.0,,called_strike,,,,,13.0,,R,R,R,SF,SD,S,,,3.0,1.0,2019.0,-0.8479,1.1535,-0.6922,1.2918,,,,1.0,4.0,Top,,,,,457763.0,,190901_020859,4.3234,-134.6588,-7.9492,-11.1907,26.0865,-16.7459,3.39,1.62,,,,92.851,2158.0,6.234,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.2657,,,,,,,,29.0,5.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271544,271544,122189,23004,FF,2019-08-31,91.8,-1.6881,5.6242,Logan Webb,622534.0,657277.0,,called_strike,,,,,13.0,,R,R,R,SF,SD,S,,,3.0,0.0,2019.0,-0.6864,1.2219,-0.8346,2.0913,,,,1.0,4.0,Top,,,,,457763.0,,190901_020841,3.6322,-133.7191,-5.78,-8.9575,25.8369,-16.5592,3.39,1.62,,,,92.15,2216.0,6.211,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.2884,,,,,,,,29.0,4.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271545,271545,122190,23027,FF,2019-08-31,92.2,-1.8113,5.5327,Logan Webb,622534.0,657277.0,,ball,,,,,14.0,,R,R,R,SF,SD,B,,,2.0,0.0,2019.0,-0.6795,1.3201,1.1423,1.8814,,,,1.0,4.0,Top,,,,,457763.0,,190901_020824,9.027999999999999,-133.9855,-6.4151,-10.0321,25.3816,-14.9692,3.39,1.62,,,,93.015,2305.0,6.572,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.9278,,,,,,,,29.0,3.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271546,271546,122191,23045,FF,2019-08-31,92.7,-1.7017,5.4652,Logan Webb,622534.0,657277.0,,ball,,,,,14.0,,R,R,R,SF,SD,B,,,1.0,0.0,2019.0,-1.0444,1.1221,0.7471,0.8622,,,,1.0,4.0,Top,,,,,457763.0,,190901_020805,8.577,-134.688,-8.5181,-14.5205,24.9151,-16.8757,3.39,1.62,,,,93.541,2359.0,6.539,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.961000000000006,,,,,,,,29.0,2.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271547,271547,122192,23055,SL,2019-08-31,83.0,-1.896,5.4834,Logan Webb,622534.0,657277.0,,ball,,,,,14.0,,R,R,R,SF,SD,B,,,0.0,0.0,2019.0,0.4801,0.196,1.0427,1.4509999999999998,,,,1.0,4.0,Top,,,,,457763.0,,190901_020750,5.7705,-120.8319,-3.1865,3.6694,21.198,-29.9121,3.39,1.62,,,,82.964,2569.0,6.018,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.4813,,,,,,,,29.0,1.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271548,271548,122193,23071,CH,2019-08-31,84.3,-1.9952,5.3999,Logan Webb,647304.0,657277.0,field_out,hit_into_play,,,,,4.0,"Josh Naylor grounds out, second baseman Donovan Solano to first baseman Brandon Belt.  ",R,L,R,SF,SD,X,4.0,ground_ball,1.0,0.0,2019.0,-1.2677,-0.009000000000000001,-0.6074,2.5801,,,,0.0,4.0,Top,144.74,145.18,,,457763.0,,190901_020704,5.7764,-122.7802,-0.2488,-13.9979,21.2313,-32.4049,3.39,1.62,5.0,98.0,-29.4,85.105,1656.0,6.48,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.0197,0.145,0.134,0.0,1.0,0.0,0.0,2.0,28.0,2.0,Changeup,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271549,271549,122194,23090,CH,2019-08-31,84.7,-1.9102,5.4138,Logan Webb,647304.0,657277.0,,ball,,,,,13.0,,R,L,R,SF,SD,B,,,0.0,0.0,2019.0,-1.2975,-0.1558,-0.6315,0.8009999999999999,,,,0.0,4.0,Top,,,,,457763.0,,190901_020642,5.5855,-123.29,-4.1746,-14.3431,22.6018,-33.2047,3.26,1.56,,,,85.133,1565.0,6.379,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.1207,,,,,,,,28.0,1.0,Changeup,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271571,271571,122216,23432,SL,2019-08-31,81.7,-2.2373,5.3172,Logan Webb,543333.0,657277.0,force_out,hit_into_play,,,,,4.0,"Eric Hosmer grounds into a force out, shortstop Mauricio Dubon to second baseman Donovan Solano.   Manny Machado out at 2nd.  ",R,L,R,SF,SD,X,6.0,ground_ball,1.0,2.0,2019.0,0.9079999999999999,0.3589,-0.7673,2.9503,,605361.0,592518.0,2.0,3.0,Top,121.12,137.31,,,457763.0,,190901_015146,1.5768,-119.0641,0.5104,8.3,21.8517,-29.0896,3.7,1.78,30.0,103.6,-3.8,81.7,2695.0,6.108,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.3918,0.37200000000000005,0.335,0.0,1.0,0.0,0.0,2.0,22.0,4.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
